"","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed","Species","sumbites"
"278","red","71","accessible","large","h2",7,1,0,4,1,0,3,0,0,"Zebrasoma scopas",8
"279","red","71","accessible","large","h3",3,2,1,3,2,1,0,0,0,"Ctenochaetus striatus",1
"280","red","71","accessible","large","h4",0,1,0,0,1,0,0,0,0,"Acanthurus nigrofuscus",4
"281","red","71","accessible","large","h4",0,1,0,0,1,0,0,0,0,"Ctenochaetus striatus",9
"282","red","71","accessible","large","h4",0,1,0,0,1,0,0,0,0,"Zebrasoma scopas",3
"283","red","71","accessible","large","h5",3,2,0,3,2,0,0,0,0,"Acanthurus nigrofuscus",2
"284","red","71","accessible","large","h5",3,2,0,3,2,0,0,0,0,"Ctenochaetus striatus",3
"285","red","71","accessible","large","h6",1,5,1,1,5,1,0,0,0,"Acanthurus nigrofuscus",6
"286","red","71","accessible","large","h6",1,5,1,1,5,1,0,0,0,"Ctenochaetus striatus",9
"287","red","71","accessible","large","h6",1,5,1,1,5,1,0,0,0,"Zebrasoma scopas",12
"288","red","71","accessible","large","h7",6,2,1,6,2,1,0,0,0,"Zebrasoma scopas",5
"289","red","71","accessible","large","h8",1,2,0,1,2,0,0,0,0,"Acanthurus nigrofuscus",13
"290","red","71","accessible","large","h8",1,2,0,1,2,0,0,0,0,"Ctenochaetus striatus",4
"291","red","71","accessible","large","h8",1,2,0,1,2,0,0,0,0,"Zebrasoma scopas",17
"292","red","71","accessible","large","h9",1,0,0,1,0,0,0,0,0,"Acanthurus nigrofuscus",3
"293","red","71","accessible","large","h9",1,0,0,1,0,0,0,0,0,"Ctenochaetus striatus",1
"294","red","71","accessible","large","h9",1,0,0,1,0,0,0,0,0,"Zebrasoma scopas",4
"295","red","71","accessible","large","i1",0,0,0,0,0,0,0,0,0,NA,NA
"296","red","71","accessible","large","i2",0,0,0,0,0,0,0,0,0,"Ctenochaetus striatus",1
"297","red","71","accessible","large","i3",1,0,0,1,0,0,0,0,0,NA,NA
"298","red","71","accessible","large","i4",1,0,0,1,0,0,0,0,0,"Ctenochaetus striatus",1
"299","red","71","accessible","large","i5",1,0,0,1,0,0,0,0,0,NA,NA
